"ASVstring.y","ASVstring.x","Var2","Var1","pval","qval","rho","n","trt","Kingdom.x","Phylum.x","Class.x","Order.x","Family.x","Genus.x","Species.x","Kingdom.y","Phylum.y","Class.y","Order.y","Family.y","Genus.y","Species.y"
"1868ef8c279b15ac4859d22dac6567dc","6c15632c01def0f51d3454d55587d52c","ASV5","ASV11",1.4210854715202e-14,3.93173685991617e-13,0.967166798249551,23,"axilla","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_Comamonadaceae","unclassified_Comamonadaceae"
"1868ef8c279b15ac4859d22dac6567dc","6c15632c01def0f51d3454d55587d52c","ASV5","ASV11",7.19424519957101e-13,2.1444185253469e-11,0.952785120673402,21,"interdigital","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_Comamonadaceae","unclassified_Comamonadaceae"
"6c15632c01def0f51d3454d55587d52c","1868ef8c279b15ac4859d22dac6567dc","ASV11","ASV5",1.4210854715202e-14,3.93173685991617e-13,0.967166798249551,23,"axilla","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_Comamonadaceae","unclassified_Comamonadaceae","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"6c15632c01def0f51d3454d55587d52c","1868ef8c279b15ac4859d22dac6567dc","ASV11","ASV5",7.19424519957101e-13,2.1444185253469e-11,0.952785120673402,21,"interdigital","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_Comamonadaceae","unclassified_Comamonadaceae","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"b54432a58c2a787b0fb095012931151b","d728f3e0a72b3534ec1c19c9c12d4e8e","ASV7","ASV6",2.65099053819995e-12,7.33444596422596e-11,0.946704394816142,22,"axilla","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified__Clostridium","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"b54432a58c2a787b0fb095012931151b","d728f3e0a72b3534ec1c19c9c12d4e8e","ASV7","ASV6",2.22044604925031e-15,5.77059815308045e-14,0.972137662869089,21,"groin","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified__Clostridium","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"b54432a58c2a787b0fb095012931151b","d728f3e0a72b3534ec1c19c9c12d4e8e","ASV7","ASV6",1.77635683940025e-14,4.59012321921667e-13,0.966499914101131,23,"ear_canal","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified__Clostridium","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"d728f3e0a72b3534ec1c19c9c12d4e8e","b54432a58c2a787b0fb095012931151b","ASV6","ASV7",2.65099053819995e-12,7.33444596422596e-11,0.946704394816142,22,"axilla","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified__Clostridium"
"d728f3e0a72b3534ec1c19c9c12d4e8e","b54432a58c2a787b0fb095012931151b","ASV6","ASV7",2.22044604925031e-15,5.77059815308045e-14,0.972137662869089,21,"groin","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified__Clostridium"
"d728f3e0a72b3534ec1c19c9c12d4e8e","b54432a58c2a787b0fb095012931151b","ASV6","ASV7",1.77635683940025e-14,4.59012321921667e-13,0.966499914101131,23,"ear_canal","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified__Clostridium"
